REF;NAME;PVP0C
0004012;[0004012] CORREA PARA SILBATO PEQUEÑA 25 CM;0.016
0004600;[0004600] ROTULADOR/BORRADOR PARA CARPETA NEUTRA;0.051
0004603;[0004603] CARPETA TÁCTICA PROFESIONAL VOLEIBOL;0.54
0007292;[0007292] PIEZA MESA TENIS DE MESA Nº 3 -JUEGO-;0.024
0007380;[0007380] PANEL SEÑALIZACION PARA PICA;0.069
0009200;[0009200] TRINEO ENTRENAMIENTO;1.675
0009635;[0009635] PARACAIDAS ENTRENAMIENTO;0.734
0009638;[0009638] CASA JUEGOS;0.105
0009647;[0009647] CUBO PSICOMOTRICIDAD;0.164
0009661;[0009661] PLOT RUGBY;0.134
0009664;[0009664] DOBLE PLATAFORMA BALANCE CIRCULAR;0.291
0009665;[0009665] SET CONSTRUCCION FOAM 50 UNIDADES FORMAS GEOMETRICAS;1.046
0009666;[0009666] SET 30 CUBOS FOAM (ALFABETO Y NUMEROS);0.94
0009667;[0009667] SET LETRAS Y NÚMEROS FOAM;0.298
0009668;[0009668] SET ANIMALES FOAM;0.298
0009674;[0009674] JABALINA TORPEDO;0.096
0009675;[0009675] SABLE FOAM;0.172
0009685;[0009685] SET 2 STICKS PIE FOAM ;0.897
0010153;[0010153] PELOTA TYRE GRANDE;0.168
0010154;[0010154] PELOTA TYRE PEQUEÑA;0.084
0010155;[0010155] PELOTA PVC TRANSPARENTE 170 MM;0.068
0010156;[0010156] PELOTA PVC TRANSPARENTE 260 MM;0.058
0010158;[0010158] PELOTA PVC BLANCA 0-6 AÑOS;0.11
0010159;[0010159] PELOTA PVC RUGBY MASSAGE SOFT;0.042
0010164;[0010164] PELOTA PVC RELIEVE;0.039
0010296;[0010296] MONOPATIN STREET WAVE SOFTEE;2.126
0010486;[0010486] TABLERO AJEDREZ MELAMINA;0.464
0010842;[0010842] FLORETE ESPADA FOAM;0.228
0010895;[0010895] ARO SOL FOAM;0.135
0010896;[0010896] BOOMERANG FOAM;0.145
0011106;[0011106] PORTERÍA HOCKEY/FLOORBALL MULTIUSOS  PVC 100 X 70 CM;0.731
0011238;[0011238] GUANTES BEISBOL SOFTEE JUNIOR TALLA 9 MANO IZQUIERDA;0.186
0011438;[0011438] VALLA PLEGABLE 50 CM CARTON;0.42
0012524;[0012524] SISTEMA DE SEGURIDAD -UNIDAD- SIMPLE PARA PORTERIA FUTBOL SALA BASE DE TUBO;0.027
0012895;[0012895] INDICADORES METALICOS DE FALTAS PERSONALES BASKET;3.078
0019106;[0019106] FLOR BUCEO;0.12
0021043;[0021043] PINZA NARIZ CINTA LÁTEX;0.026
0021266;[0021266] PINZA NARIZ BLISTER NIKE;0.006
0021267;[0021267] PINZA NARIZ SIN BLISTER NIKE;0.003
0021609;[0021609] MÁSCARA DE NATACIÓN HERCULES SQUBA;0.147
0021612;[0021612] TUBO SNORKEL NEPTUNO SQUBA;0.129
0021723;[0021723] ALETA BODY TALLA 38/40 AZUL;0.501
0025702;[0025702] EXPANSOR OCHO;0.177
0025703;[0025703] EXPANSOR CERO;0.118
0025714;[0025714] RECAMBIO TUBO EXPANSOR DENSIDAD LIGERA 1,30MTS;0.072
0025715;[0025715] RECAMBIO TUBO EXPANSOR DENSIDAD MEDIA 1,30MTS;0.085
0025719;[0025719] RECAMBIO TUBO EXPANSOR LATEX DELUXE DENSIDAD ALTA 1,30MTS VERDE;0.25
0026351;[0026351] SOPORTE METALICO PARA AROS Y CUERDAS MODELO II;0.084
0026352;[0026352] SOPORTE METALICO PARA AROS Y CUERDAS MODELO III;0.41
0027453;[0027453] MOCHILA BACKPACK SOFTEE ROJA;0.33
0029001;[0029001] BARRA BASIC DOMINADAS;0.415
0029002;[0029002] BARRA PROFESIONAL DOMINADAS;0.516
0501292;[0501292] GRIP WILSON HYBRID COMF REPL BLANCO;0.09
0501293;[0501293] GRIP WILSON HYBRID COMF REPL NEGRO;0.09
0533098;[0533098] BANDOLERA PALETERO NEUTRA;0.605
24156.003.1;[24156.003.1] PELOTA PARA PALA MADERA COMPETICIÓN SOFTEE (ROJO);0.016
24156.004.1;[24156.004.1] PELOTA PARA PALA MADERA COMPETICIÓN SOFTEE (VERDE);0.016
24156.005.1;[24156.005.1] PELOTA PARA PALA MADERA COMPETICIÓN SOFTEE (AMARILLO);0.016
24156.028.1;[24156.028.1] PELOTA PARA PALA MADERA COMPETICIÓN SOFTEE (AZUL);0.016
24169.019.3;[24169.019.3] PAR PELOTAS PESO SIN EMPUÑADURA (AMARILLO FLUOR, 1 KG);1.211
24169.099.3;[24169.099.3] PAR PELOTAS PESO SIN EMPUÑADURA (CORAL FLUOR, 1 KG);1.211
39900.A60.2;[39900.A60.2] BAÑADOR MUJER SQUBA MOD. 4006.100 ERBA (NEGRO/VERDE, S);0.571
39900.A60.3;[39900.A60.3] BAÑADOR MUJER SQUBA MOD. 4006.100 ERBA (NEGRO/VERDE, M);0.565
39900.A60.4;[39900.A60.4] BAÑADOR MUJER SQUBA MOD. 4006.100 ERBA (NEGRO/VERDE, L);0.565
39900.A60.5;[39900.A60.5] BAÑADOR MUJER SQUBA MOD. 4006.100 ERBA (NEGRO/VERDE, XL);0.568
39901.A23.2;[39901.A23.2] BAÑADOR MUJER SQUBA MOD. 4006.100 VENERE (NEGRO/ROJO, S);0.315
39901.A23.3;[39901.A23.3] BAÑADOR MUJER SQUBA MOD. 4006.100 VENERE (NEGRO/ROJO, M);0.312
39901.A23.4;[39901.A23.4] BAÑADOR MUJER SQUBA MOD. 4006.100 VENERE (NEGRO/ROJO, L);0.312
39902.001.2;[39902.001.2] BAÑADOR MUJER SQUBA MOD. 4009.100 BLACK (NEGRO, S);0.337
39902.001.4;[39902.001.4] BAÑADOR MUJER SQUBA MOD. 4009.100 BLACK (NEGRO, L);0.334
39902.001.5;[39902.001.5] BAÑADOR MUJER SQUBA MOD. 4009.100 BLACK (NEGRO, XL);0.325
39903.009.2;[39903.009.2] BAÑADOR MUJER SQUBA MOD. 4009.100 COSMO (MARINO, S);0.561
